x	y
2.3396 -0.1260
-1.0144 0.0209
0.6766 -1.6591
-0.0096 1.6033
0.1482 1.0566
-2.1310 -1.1242
-1.0149 -2.1636
2.6717 0.3745
-0.6726 2.0193
1.1442 -1.7125
0.5708 0.6406
-1.4082 0.0226
1.4977 -0.0180
-0.9073 0.2850
3.6900 -0.3961
0.9588 1.6592
0.8810 0.0727
2.9254 1.1823
1.2114 -0.5243
-0.6983 -2.4888
-1.0357 -0.5974
-0.6258 -0.8097
-0.3549 1.0974
0.3904 -0.0124
-0.3824 -1.3130
-0.9533 2.2145
0.8441 -1.0229
-1.0841 1.0885
-1.3266 3.4045
-1.9545 0.8985
1.3866 0.2988
1.0779 -0.8479
-2.5220 0.4240
-1.7593 1.2532
0.4938 2.8277
1.7007 -0.3863
-0.0359 2.1298
1.0570 2.0834
-2.2910 -2.9928
2.0233 -0.1906
-4.4719 -3.4657
1.2621 -0.7262
-0.3295 -1.3780
-1.0676 -0.3468
-0.5932 0.0689
-0.5005 0.5341
-0.6986 -0.8212
0.7507 -1.9216
0.9147 0.0574
-0.0955 -1.4903
0.5142 0.8268
2.2975 -2.3959
-0.2475 -1.8470
-0.5909 -3.1875
-1.9924 -1.1664
-0.2905 1.9467
-1.8471 0.9336
-2.0838 -0.0226
-0.6027 -1.1656
-0.2044 -1.4790
1.2526 0.8878
0.4977 0.1241
0.7926 -0.9534
0.9106 1.7971
0.0500 -0.1064
-0.0436 -0.1359
0.0294 0.7384
1.9986 2.0616
2.2244 -0.0139
2.6443 -1.0170
-0.6450 -1.0980
2.5140 2.3820
0.7641 -2.0415
0.5395 0.7085
-0.2053 -0.4596
-0.7356 0.4828
0.2698 1.1766
1.9157 0.3101
-0.5526 0.5955
1.7838 0.0358
-1.9916 -0.8483
-1.7637 -1.5694
-0.2522 -0.7850
1.4871 -2.6904
0.7025 4.6807
3.4103 -0.4137
0.3633 -1.8240
1.6921 0.4064
-2.9525 0.2386
1.0101 0.8603
0.9884 1.6851
-0.1554 2.8243
0.0024 0.4496
0.7822 -2.6003
2.0039 0.3032
1.0352 -2.3091
-0.2963 -0.1174
-1.5563 -0.1714
0.9113 -1.7769
1.3560 2.1054
5.4330 5.3464
4.0856 4.4375
6.0968 6.3999
5.4778 5.1055
6.6812 3.8867
4.5748 5.7635
5.0647 5.3896
4.0975 4.4170
4.9566 6.2343
3.6916 7.3813
7.8524 6.5939
4.1208 4.9503
5.1789 4.6211
5.6036 4.2518
5.3189 3.1708
6.8810 3.3660
3.1338 5.9037
5.9178 2.8217
5.2834 5.8123
5.2587 5.3613
6.1547 4.1917
3.4666 6.6683
4.4785 6.7243
5.6234 5.9819
4.2091 5.8634
5.1530 4.9278
6.1764 3.8538
2.9722 5.3511
5.7291 2.6027
4.6525 4.7690
4.1902 1.3820
5.8471 6.5775
3.6705 5.3545
3.0972 5.7208
6.1241 6.9218
4.9706 5.8569
6.9126 4.8065
6.5462 4.7283
4.7968 6.2434
4.7937 5.2040
4.3572 4.7799
7.0226 5.6754
2.2205 7.3347
6.8480 5.9550
3.0745 1.6429
8.6000 1.3277
7.9608 5.7216
4.9295 5.7613
7.9160 2.3463
3.2124 5.1154
5.1851 5.1481
3.5342 5.3495
2.3000 6.1620
5.5556 5.3437
2.1822 6.1281
4.2769 6.1640
5.6035 6.0333
2.4964 5.9913
6.6111 5.7201
1.9397 3.7583
